method,target_number,guesses
Linear Search,13,13
Linear Search,100,100
Linear Search,61,61
Linear Search,13,13
Linear Search,75,75
Linear Search,77,77
Linear Search,75,75
Linear Search,84,84
Linear Search,84,84
Linear Search,39,39
Linear Search,47,47
Linear Search,40,40
Linear Search,71,71
Linear Search,41,41
Linear Search,4,4
Linear Search,43,43
Linear Search,4,4
Linear Search,9,9
Linear Search,28,28
Linear Search,5,5
Linear Search,44,44
Linear Search,16,16
Linear Search,4,4
Linear Search,19,19
Linear Search,47,47
Linear Search,69,69
Linear Search,7,7
Linear Search,33,33
Linear Search,8,8
Linear Search,95,95
Linear Search,88,88
Linear Search,23,23
Linear Search,96,96
Linear Search,30,30
Linear Search,90,90
Linear Search,54,54
Linear Search,15,15
Linear Search,17,17
Linear Search,68,68
Linear Search,51,51
Linear Search,27,27
Linear Search,39,39
Linear Search,84,84
Linear Search,100,100
Linear Search,23,23
Linear Search,19,19
Linear Search,10,10
Linear Search,39,39
Linear Search,83,83
Linear Search,79,79
Linear Search,96,96
Linear Search,5,5
Linear Search,11,11
Linear Search,68,68
Linear Search,73,73
Linear Search,80,80
Linear Search,60,60
Linear Search,99,99
Linear Search,52,52
Linear Search,37,37
Linear Search,44,44
Linear Search,9,9
Linear Search,31,31
Linear Search,52,52
Linear Search,57,57
Linear Search,25,25
Linear Search,67,67
Linear Search,50,50
Linear Search,88,88
Linear Search,85,85
Linear Search,89,89
Linear Search,5,5
Linear Search,43,43
Linear Search,11,11
Linear Search,16,16
Linear Search,57,57
Linear Search,55,55
Linear Search,100,100
Linear Search,67,67
Linear Search,3,3
Linear Search,67,67
Linear Search,53,53
Linear Search,26,26
Linear Search,70,70
Linear Search,57,57
Linear Search,75,75
Linear Search,52,52
Linear Search,55,55
Linear Search,90,90
Linear Search,34,34
Linear Search,59,59
Linear Search,28,28
Linear Search,1,1
Linear Search,20,20
Linear Search,65,65
Linear Search,53,53
Linear Search,60,60
Linear Search,95,95
Linear Search,36,36
Linear Search,55,55
Linear Search,68,68
Linear Search,65,65
Linear Search,36,36
Linear Search,7,7
Linear Search,53,53
Linear Search,26,26
Linear Search,45,45
Linear Search,34,34
Linear Search,73,73
Linear Search,43,43
Linear Search,68,68
Linear Search,70,70
Linear Search,36,36
Linear Search,14,14
Linear Search,44,44
Linear Search,96,96
Linear Search,47,47
Linear Search,90,90
Linear Search,6,6
Linear Search,29,29
Linear Search,23,23
Linear Search,33,33
Linear Search,65,65
Linear Search,46,46
Linear Search,50,50
Linear Search,61,61
Linear Search,39,39
Linear Search,85,85
Linear Search,69,69
Linear Search,6,6
Linear Search,54,54
Linear Search,6,6
Linear Search,38,38
Linear Search,27,27
Linear Search,42,42
Linear Search,37,37
Linear Search,64,64
Linear Search,59,59
Linear Search,62,62
Linear Search,75,75
Linear Search,12,12
Linear Search,58,58
Linear Search,41,41
Linear Search,25,25
Linear Search,55,55
Linear Search,6,6
Linear Search,42,42
Linear Search,61,61
Linear Search,50,50
Linear Search,84,84
Linear Search,84,84
Linear Search,16,16
Linear Search,82,82
Linear Search,17,17
Linear Search,4,4
Linear Search,37,37
Linear Search,4,4
Linear Search,6,6
Linear Search,52,52
Linear Search,46,46
Linear Search,11,11
Linear Search,32,32
Linear Search,12,12
Linear Search,54,54
Linear Search,81,81
Linear Search,63,63
Linear Search,81,81
Linear Search,8,8
Linear Search,87,87
Linear Search,21,21
Linear Search,22,22
Linear Search,82,82
Linear Search,74,74
Linear Search,84,84
Linear Search,7,7
Linear Search,2,2
Linear Search,43,43
Linear Search,49,49
Linear Search,84,84
Linear Search,57,57
Linear Search,87,87
Linear Search,11,11
Linear Search,16,16
Linear Search,74,74
Linear Search,31,31
Linear Search,81,81
Linear Search,89,89
Linear Search,98,98
Linear Search,57,57
Linear Search,99,99
Linear Search,53,53
Linear Search,66,66
Linear Search,75,75
Linear Search,87,87
Linear Search,91,91
Linear Search,54,54
Linear Search,73,73
Linear Search,26,26
Linear Search,39,39
Linear Search,57,57
Linear Search,58,58
Linear Search,52,52
Linear Search,53,53
Linear Search,78,78
Linear Search,16,16
Linear Search,87,87
Linear Search,57,57
Linear Search,46,46
Linear Search,19,19
Linear Search,93,93
Linear Search,19,19
Linear Search,82,82
Linear Search,45,45
Linear Search,84,84
Linear Search,56,56
Linear Search,90,90
Linear Search,15,15
Linear Search,86,86
Linear Search,55,55
Linear Search,67,67
Linear Search,26,26
Linear Search,28,28
Linear Search,41,41
Linear Search,77,77
Linear Search,98,98
Linear Search,71,71
Linear Search,87,87
Linear Search,93,93
Linear Search,82,82
Linear Search,36,36
Linear Search,72,72
Linear Search,34,34
Linear Search,47,47
Linear Search,21,21
Linear Search,80,80
Linear Search,80,80
Linear Search,16,16
Linear Search,10,10
Linear Search,86,86
Linear Search,68,68
Linear Search,22,22
Linear Search,45,45
Linear Search,7,7
Linear Search,63,63
Linear Search,32,32
Linear Search,54,54
Linear Search,46,46
Linear Search,8,8
Linear Search,29,29
Linear Search,74,74
Linear Search,62,62
Linear Search,53,53
Linear Search,68,68
Linear Search,83,83
Linear Search,34,34
Linear Search,36,36
Linear Search,21,21
Linear Search,27,27
Linear Search,68,68
Linear Search,18,18
Linear Search,25,25
Linear Search,53,53
Linear Search,46,46
Linear Search,68,68
Linear Search,58,58
Linear Search,97,97
Linear Search,52,52
Linear Search,55,55
Linear Search,98,98
Linear Search,100,100
Linear Search,8,8
Linear Search,58,58
Linear Search,43,43
Linear Search,11,11
Linear Search,20,20
Linear Search,83,83
Linear Search,58,58
Linear Search,33,33
Linear Search,27,27
Linear Search,64,64
Linear Search,33,33
Linear Search,63,63
Linear Search,18,18
Linear Search,5,5
Linear Search,32,32
Linear Search,62,62
Linear Search,5,5
Linear Search,16,16
Linear Search,52,52
Linear Search,26,26
Linear Search,18,18
Linear Search,29,29
Linear Search,14,14
Linear Search,74,74
Linear Search,36,36
Linear Search,9,9
Linear Search,33,33
Linear Search,57,57
Linear Search,95,95
Linear Search,5,5
Linear Search,74,74
Linear Search,10,10
Linear Search,68,68
Linear Search,55,55
Linear Search,16,16
Linear Search,82,82
Linear Search,63,63
Linear Search,96,96
Linear Search,52,52
Linear Search,38,38
Linear Search,19,19
Linear Search,5,5
Linear Search,74,74
Linear Search,69,69
Linear Search,23,23
Linear Search,35,35
Linear Search,68,68
Linear Search,57,57
Linear Search,5,5
Linear Search,40,40
Linear Search,16,16
Linear Search,6,6
Linear Search,41,41
Linear Search,59,59
Linear Search,32,32
Linear Search,49,49
Linear Search,31,31
Linear Search,35,35
Linear Search,15,15
Linear Search,90,90
Linear Search,68,68
Linear Search,32,32
Linear Search,42,42
Linear Search,69,69
Linear Search,57,57
Linear Search,42,42
Linear Search,92,92
Linear Search,8,8
Linear Search,56,56
Linear Search,37,37
Linear Search,91,91
Linear Search,36,36
Linear Search,87,87
Linear Search,72,72
Linear Search,54,54
Linear Search,39,39
Linear Search,38,38
Linear Search,12,12
Linear Search,99,99
Linear Search,52,52
Linear Search,82,82
Linear Search,100,100
Linear Search,69,69
Linear Search,70,70
Linear Search,21,21
Linear Search,65,65
Linear Search,60,60
Linear Search,28,28
Linear Search,10,10
Linear Search,28,28
Linear Search,5,5
Linear Search,34,34
Linear Search,83,83
Linear Search,26,26
Linear Search,77,77
Linear Search,44,44
Linear Search,48,48
Linear Search,36,36
Linear Search,95,95
Linear Search,37,37
Linear Search,96,96
Linear Search,53,53
Linear Search,25,25
Linear Search,13,13
Linear Search,57,57
Linear Search,94,94
Linear Search,56,56
Linear Search,97,97
Linear Search,77,77
Linear Search,94,94
Linear Search,68,68
Linear Search,7,7
Linear Search,95,95
Linear Search,56,56
Linear Search,15,15
Linear Search,96,96
Linear Search,34,34
Linear Search,36,36
Linear Search,7,7
Linear Search,31,31
Linear Search,29,29
Linear Search,28,28
Linear Search,8,8
Linear Search,50,50
Linear Search,90,90
Linear Search,51,51
Linear Search,47,47
Linear Search,99,99
Linear Search,98,98
Linear Search,16,16
Linear Search,55,55
Linear Search,79,79
Linear Search,99,99
Linear Search,32,32
Linear Search,63,63
Linear Search,48,48
Linear Search,52,52
Linear Search,34,34
Linear Search,12,12
Linear Search,70,70
Linear Search,55,55
Linear Search,15,15
Linear Search,56,56
Linear Search,16,16
Linear Search,39,39
Linear Search,2,2
Linear Search,8,8
Linear Search,1,1
Linear Search,87,87
Linear Search,93,93
Linear Search,42,42
Linear Search,34,34
Linear Search,88,88
Linear Search,54,54
Linear Search,39,39
Linear Search,55,55
Linear Search,70,70
Linear Search,28,28
Linear Search,20,20
Linear Search,85,85
Linear Search,3,3
Linear Search,19,19
Linear Search,88,88
Linear Search,43,43
Linear Search,74,74
Linear Search,14,14
Linear Search,91,91
Linear Search,12,12
Linear Search,14,14
Linear Search,42,42
Linear Search,45,45
Linear Search,17,17
Linear Search,22,22
Linear Search,100,100
Linear Search,50,50
Linear Search,85,85
Linear Search,41,41
Linear Search,38,38
Linear Search,96,96
Linear Search,89,89
Linear Search,55,55
Linear Search,88,88
Linear Search,6,6
Linear Search,2,2
Linear Search,10,10
Linear Search,58,58
Linear Search,25,25
Linear Search,49,49
Linear Search,91,91
Linear Search,46,46
Linear Search,4,4
Linear Search,60,60
Linear Search,37,37
Linear Search,51,51
Linear Search,38,38
Linear Search,74,74
Linear Search,62,62
Linear Search,60,60
Linear Search,89,89
Linear Search,22,22
Linear Search,43,43
Linear Search,94,94
Linear Search,81,81
Linear Search,28,28
Linear Search,42,42
Linear Search,2,2
Linear Search,33,33
Linear Search,4,4
Linear Search,82,82
Linear Search,90,90
Linear Search,71,71
Linear Search,100,100
Linear Search,13,13
Linear Search,4,4
Linear Search,56,56
Linear Search,32,32
Linear Search,16,16
Linear Search,9,9
Linear Search,75,75
Linear Search,58,58
Linear Search,34,34
Linear Search,52,52
Linear Search,10,10
Linear Search,43,43
Linear Search,89,89
Linear Search,9,9
Linear Search,1,1
Linear Search,44,44
Linear Search,87,87
Linear Search,18,18
Linear Search,73,73
Linear Search,67,67
Linear Search,82,82
Linear Search,8,8
Linear Search,2,2
Linear Search,15,15
Linear Search,74,74
Linear Search,34,34
Linear Search,11,11
Linear Search,11,11
Linear Search,23,23
Linear Search,42,42
Linear Search,28,28
Linear Search,63,63
Linear Search,99,99
Linear Search,79,79
Linear Search,16,16
Linear Search,21,21
Linear Search,88,88
Linear Search,82,82
Linear Search,55,55
Linear Search,85,85
Linear Search,37,37
Linear Search,45,45
Linear Search,2,2
Linear Search,61,61
Linear Search,48,48
Linear Search,19,19
Linear Search,43,43
Linear Search,30,30
Linear Search,37,37
Linear Search,73,73
Linear Search,20,20
Linear Search,24,24
Linear Search,57,57
Linear Search,15,15
Linear Search,59,59
Linear Search,91,91
Linear Search,83,83
Linear Search,97,97
Linear Search,15,15
Linear Search,35,35
Linear Search,8,8
Linear Search,95,95
Linear Search,99,99
Linear Search,31,31
Linear Search,83,83
Linear Search,11,11
Linear Search,54,54
Linear Search,28,28
Linear Search,31,31
Linear Search,94,94
Linear Search,92,92
Linear Search,50,50
Linear Search,11,11
Linear Search,11,11
Linear Search,1,1
Linear Search,30,30
Linear Search,14,14
Linear Search,54,54
Linear Search,28,28
Linear Search,74,74
Linear Search,17,17
Linear Search,67,67
Linear Search,17,17
Linear Search,53,53
Linear Search,45,45
Linear Search,21,21
Linear Search,58,58
Linear Search,85,85
Linear Search,10,10
Linear Search,32,32
Linear Search,99,99
Linear Search,75,75
Linear Search,33,33
Linear Search,20,20
Linear Search,63,63
Linear Search,27,27
Linear Search,58,58
Linear Search,61,61
Linear Search,95,95
Linear Search,24,24
Linear Search,82,82
Linear Search,10,10
Linear Search,62,62
Linear Search,66,66
Linear Search,53,53
Linear Search,50,50
Linear Search,12,12
Linear Search,63,63
Linear Search,66,66
Linear Search,55,55
Linear Search,29,29
Linear Search,78,78
Linear Search,88,88
Linear Search,24,24
Linear Search,26,26
Linear Search,10,10
Linear Search,71,71
Linear Search,10,10
Linear Search,82,82
Linear Search,5,5
Linear Search,26,26
Linear Search,46,46
Linear Search,65,65
Linear Search,51,51
Linear Search,10,10
Linear Search,32,32
Linear Search,14,14
Linear Search,92,92
Linear Search,56,56
Linear Search,43,43
Linear Search,33,33
Linear Search,3,3
Linear Search,32,32
Linear Search,36,36
Linear Search,87,87
Linear Search,77,77
Linear Search,65,65
Linear Search,89,89
Linear Search,51,51
Linear Search,98,98
Linear Search,15,15
Linear Search,36,36
Linear Search,68,68
Linear Search,59,59
Linear Search,97,97
Linear Search,44,44
Linear Search,48,48
Linear Search,47,47
Linear Search,36,36
Linear Search,10,10
Linear Search,49,49
Linear Search,64,64
Linear Search,58,58
Linear Search,26,26
Linear Search,22,22
Linear Search,10,10
Linear Search,5,5
Linear Search,38,38
Linear Search,23,23
Linear Search,63,63
Linear Search,14,14
Linear Search,43,43
Linear Search,3,3
Linear Search,37,37
Linear Search,31,31
Linear Search,97,97
Linear Search,7,7
Linear Search,32,32
Linear Search,1,1
Linear Search,49,49
Linear Search,71,71
Linear Search,40,40
Linear Search,91,91
Linear Search,78,78
Linear Search,58,58
Linear Search,39,39
Linear Search,20,20
Linear Search,26,26
Linear Search,24,24
Linear Search,65,65
Linear Search,17,17
Linear Search,17,17
Linear Search,66,66
Linear Search,62,62
Linear Search,16,16
Linear Search,32,32
Linear Search,66,66
Linear Search,3,3
Linear Search,17,17
Linear Search,10,10
Linear Search,85,85
Linear Search,11,11
Linear Search,56,56
Linear Search,90,90
Linear Search,97,97
Linear Search,90,90
Linear Search,99,99
Linear Search,37,37
Linear Search,60,60
Linear Search,89,89
Linear Search,9,9
Linear Search,76,76
Linear Search,21,21
Linear Search,99,99
Linear Search,31,31
Linear Search,44,44
Linear Search,3,3
Linear Search,29,29
Linear Search,90,90
Linear Search,73,73
Linear Search,97,97
Linear Search,17,17
Linear Search,74,74
Linear Search,95,95
Linear Search,50,50
Linear Search,6,6
Linear Search,6,6
Linear Search,99,99
Linear Search,1,1
Linear Search,93,93
Linear Search,49,49
Linear Search,59,59
Linear Search,71,71
Linear Search,96,96
Linear Search,14,14
Linear Search,70,70
Linear Search,62,62
Linear Search,65,65
Linear Search,16,16
Linear Search,26,26
Linear Search,77,77
Linear Search,13,13
Linear Search,84,84
Linear Search,70,70
Linear Search,21,21
Linear Search,47,47
Linear Search,37,37
Linear Search,60,60
Linear Search,12,12
Linear Search,64,64
Linear Search,27,27
Linear Search,70,70
Linear Search,27,27
Linear Search,38,38
Linear Search,62,62
Linear Search,4,4
Linear Search,81,81
Linear Search,34,34
Linear Search,37,37
Linear Search,96,96
Linear Search,74,74
Linear Search,9,9
Linear Search,70,70
Linear Search,79,79
Linear Search,51,51
Linear Search,38,38
Linear Search,3,3
Linear Search,20,20
Linear Search,33,33
Linear Search,73,73
Linear Search,49,49
Linear Search,26,26
Linear Search,25,25
Linear Search,55,55
Linear Search,12,12
Linear Search,29,29
Linear Search,6,6
Linear Search,18,18
Linear Search,19,19
Linear Search,77,77
Linear Search,90,90
Linear Search,65,65
Linear Search,59,59
Linear Search,13,13
Linear Search,35,35
Linear Search,74,74
Linear Search,100,100
Linear Search,84,84
Linear Search,44,44
Linear Search,37,37
Linear Search,72,72
Linear Search,25,25
Linear Search,40,40
Linear Search,99,99
Linear Search,22,22
Linear Search,29,29
Linear Search,20,20
Linear Search,31,31
Linear Search,58,58
Linear Search,68,68
Linear Search,93,93
Linear Search,7,7
Linear Search,1,1
Linear Search,66,66
Linear Search,30,30
Linear Search,69,69
Linear Search,60,60
Linear Search,83,83
Linear Search,93,93
Linear Search,68,68
Linear Search,5,5
Linear Search,49,49
Linear Search,78,78
Linear Search,96,96
Linear Search,32,32
Linear Search,95,95
Linear Search,94,94
Linear Search,66,66
Linear Search,66,66
Linear Search,94,94
Linear Search,52,52
Linear Search,18,18
Linear Search,44,44
Linear Search,74,74
Linear Search,92,92
Linear Search,66,66
Linear Search,32,32
Linear Search,78,78
Linear Search,8,8
Linear Search,63,63
Linear Search,40,40
Linear Search,35,35
Linear Search,17,17
Linear Search,7,7
Linear Search,1,1
Linear Search,99,99
Linear Search,11,11
Linear Search,21,21
Linear Search,14,14
Linear Search,8,8
Linear Search,27,27
Linear Search,83,83
Linear Search,56,56
Linear Search,70,70
Linear Search,1,1
Linear Search,51,51
Linear Search,95,95
Linear Search,88,88
Linear Search,100,100
Linear Search,67,67
Linear Search,57,57
Linear Search,22,22
Linear Search,11,11
Linear Search,15,15
Linear Search,48,48
Linear Search,91,91
Linear Search,95,95
Linear Search,96,96
Linear Search,33,33
Linear Search,83,83
Linear Search,60,60
Linear Search,61,61
Linear Search,92,92
Linear Search,19,19
Linear Search,32,32
Linear Search,94,94
Linear Search,7,7
Linear Search,2,2
Linear Search,14,14
Linear Search,2,2
Linear Search,93,93
Linear Search,22,22
Linear Search,17,17
Linear Search,34,34
Linear Search,55,55
Linear Search,88,88
Linear Search,66,66
Linear Search,56,56
Linear Search,60,60
Linear Search,9,9
Linear Search,71,71
Linear Search,24,24
Linear Search,59,59
Linear Search,17,17
Linear Search,22,22
Linear Search,3,3
Linear Search,72,72
Linear Search,93,93
Linear Search,35,35
Linear Search,45,45
Linear Search,35,35
Linear Search,17,17
Linear Search,92,92
Linear Search,60,60
Linear Search,98,98
Linear Search,81,81
Linear Search,80,80
Linear Search,69,69
Linear Search,86,86
Linear Search,15,15
Linear Search,80,80
Linear Search,38,38
Linear Search,63,63
Linear Search,22,22
Linear Search,12,12
Linear Search,1,1
Linear Search,41,41
Linear Search,46,46
Linear Search,67,67
Linear Search,74,74
Linear Search,93,93
Linear Search,5,5
Linear Search,16,16
Linear Search,98,98
Linear Search,21,21
Linear Search,87,87
Linear Search,33,33
Linear Search,84,84
Linear Search,11,11
Linear Search,96,96
Linear Search,73,73
Linear Search,41,41
Linear Search,25,25
Linear Search,39,39
Linear Search,22,22
Linear Search,27,27
Linear Search,77,77
Linear Search,11,11
Linear Search,75,75
Linear Search,73,73
Linear Search,36,36
Linear Search,37,37
Linear Search,10,10
Linear Search,100,100
Linear Search,41,41
Linear Search,83,83
Linear Search,38,38
Linear Search,79,79
Linear Search,65,65
Linear Search,17,17
Linear Search,14,14
Linear Search,6,6
Linear Search,30,30
Linear Search,27,27
Linear Search,46,46
Linear Search,84,84
Linear Search,62,62
Linear Search,59,59
Linear Search,66,66
Linear Search,78,78
Linear Search,95,95
Linear Search,40,40
Linear Search,78,78
Linear Search,13,13
Linear Search,67,67
Linear Search,71,71
Linear Search,66,66
Linear Search,48,48
Linear Search,71,71
Linear Search,77,77
Linear Search,23,23
Linear Search,92,92
Linear Search,16,16
Linear Search,82,82
Linear Search,26,26
Linear Search,24,24
Linear Search,95,95
Linear Search,87,87
Linear Search,93,93
Linear Search,58,58
Linear Search,39,39
Linear Search,24,24
Linear Search,70,70
Linear Search,26,26
Linear Search,82,82
Linear Search,80,80
Linear Search,22,22
Linear Search,14,14
Linear Search,96,96
Linear Search,95,95
Linear Search,29,29
Linear Search,67,67
Linear Search,98,98
Linear Search,97,97
Linear Search,83,83
Linear Search,47,47
Linear Search,8,8
Linear Search,68,68
Linear Search,57,57
Linear Search,36,36
Linear Search,26,26
Linear Search,2,2
Linear Search,96,96
Linear Search,50,50
Linear Search,29,29
Linear Search,94,94
Linear Search,33,33
Linear Search,56,56
Linear Search,81,81
Linear Search,45,45
Linear Search,28,28
Linear Search,1,1
Linear Search,51,51
Linear Search,16,16
Linear Search,67,67
Linear Search,54,54
Linear Search,100,100
Linear Search,77,77
Linear Search,18,18
Linear Search,9,9
Linear Search,12,12
Linear Search,49,49
Linear Search,16,16
Linear Search,10,10
Linear Search,94,94
Linear Search,87,87
Linear Search,48,48
Linear Search,54,54
Linear Search,64,64
Linear Search,13,13
Linear Search,38,38
Linear Search,4,4
Linear Search,71,71
Linear Search,9,9
Linear Search,21,21
Linear Search,31,31
Linear Search,82,82
Linear Search,33,33
Reverse Linear,43,58
Reverse Linear,53,48
Reverse Linear,11,90
Reverse Linear,4,97
Reverse Linear,52,49
Reverse Linear,95,6
Reverse Linear,13,88
Reverse Linear,14,87
Reverse Linear,61,40
Reverse Linear,39,62
Reverse Linear,31,70
Reverse Linear,59,42
Reverse Linear,84,17
Reverse Linear,45,56
Reverse Linear,80,21
Reverse Linear,4,97
Reverse Linear,62,39
Reverse Linear,97,4
Reverse Linear,27,74
Reverse Linear,22,79
Reverse Linear,93,8
Reverse Linear,31,70
Reverse Linear,15,86
Reverse Linear,39,62
Reverse Linear,52,49
Reverse Linear,96,5
Reverse Linear,50,51
Reverse Linear,51,50
Reverse Linear,18,83
Reverse Linear,22,79
Reverse Linear,75,26
Reverse Linear,85,16
Reverse Linear,89,12
Reverse Linear,51,50
Reverse Linear,55,46
Reverse Linear,32,69
Reverse Linear,21,80
Reverse Linear,9,92
Reverse Linear,71,30
Reverse Linear,63,38
Reverse Linear,73,28
Reverse Linear,54,47
Reverse Linear,53,48
Reverse Linear,78,23
Reverse Linear,30,71
Reverse Linear,6,95
Reverse Linear,76,25
Reverse Linear,10,91
Reverse Linear,81,20
Reverse Linear,85,16
Reverse Linear,42,59
Reverse Linear,62,39
Reverse Linear,34,67
Reverse Linear,9,92
Reverse Linear,39,62
Reverse Linear,4,97
Reverse Linear,80,21
Reverse Linear,79,22
Reverse Linear,63,38
Reverse Linear,70,31
Reverse Linear,5,96
Reverse Linear,3,98
Reverse Linear,41,60
Reverse Linear,35,66
Reverse Linear,12,89
Reverse Linear,15,86
Reverse Linear,26,75
Reverse Linear,11,90
Reverse Linear,8,93
Reverse Linear,43,58
Reverse Linear,48,53
Reverse Linear,60,41
Reverse Linear,55,46
Reverse Linear,15,86
Reverse Linear,52,49
Reverse Linear,21,80
Reverse Linear,52,49
Reverse Linear,76,25
Reverse Linear,47,54
Reverse Linear,38,63
Reverse Linear,3,98
Reverse Linear,13,88
Reverse Linear,99,2
Reverse Linear,3,98
Reverse Linear,42,59
Reverse Linear,59,42
Reverse Linear,18,83
Reverse Linear,71,30
Reverse Linear,92,9
Reverse Linear,40,61
Reverse Linear,77,24
Reverse Linear,52,49
Reverse Linear,90,11
Reverse Linear,17,84
Reverse Linear,68,33
Reverse Linear,97,4
Reverse Linear,11,90
Reverse Linear,18,83
Reverse Linear,89,12
Reverse Linear,39,62
Reverse Linear,92,9
Reverse Linear,95,6
Reverse Linear,56,45
Reverse Linear,29,72
Reverse Linear,75,26
Reverse Linear,78,23
Reverse Linear,32,69
Reverse Linear,12,89
Reverse Linear,27,74
Reverse Linear,85,16
Reverse Linear,14,87
Reverse Linear,95,6
Reverse Linear,23,78
Reverse Linear,79,22
Reverse Linear,13,88
Reverse Linear,58,43
Reverse Linear,84,17
Reverse Linear,51,50
Reverse Linear,94,7
Reverse Linear,20,81
Reverse Linear,10,91
Reverse Linear,73,28
Reverse Linear,56,45
Reverse Linear,100,1
Reverse Linear,61,40
Reverse Linear,92,9
Reverse Linear,57,44
Reverse Linear,89,12
Reverse Linear,65,36
Reverse Linear,38,63
Reverse Linear,50,51
Reverse Linear,29,72
Reverse Linear,91,10
Reverse Linear,37,64
Reverse Linear,49,52
Reverse Linear,52,49
Reverse Linear,4,97
Reverse Linear,42,59
Reverse Linear,80,21
Reverse Linear,79,22
Reverse Linear,20,81
Reverse Linear,72,29
Reverse Linear,91,10
Reverse Linear,72,29
Reverse Linear,56,45
Reverse Linear,92,9
Reverse Linear,53,48
Reverse Linear,26,75
Reverse Linear,63,38
Reverse Linear,35,66
Reverse Linear,71,30
Reverse Linear,37,64
Reverse Linear,56,45
Reverse Linear,5,96
Reverse Linear,45,56
Reverse Linear,32,69
Reverse Linear,27,74
Reverse Linear,49,52
Reverse Linear,86,15
Reverse Linear,82,19
Reverse Linear,79,22
Reverse Linear,85,16
Reverse Linear,77,24
Reverse Linear,24,77
Reverse Linear,50,51
Reverse Linear,97,4
Reverse Linear,35,66
Reverse Linear,91,10
Reverse Linear,53,48
Reverse Linear,61,40
Reverse Linear,90,11
Reverse Linear,90,11
Reverse Linear,94,7
Reverse Linear,67,34
Reverse Linear,47,54
Reverse Linear,91,10
Reverse Linear,63,38
Reverse Linear,9,92
Reverse Linear,4,97
Reverse Linear,3,98
Reverse Linear,42,59
Reverse Linear,96,5
Reverse Linear,99,2
Reverse Linear,11,90
Reverse Linear,92,9
Reverse Linear,8,93
Reverse Linear,25,76
Reverse Linear,16,85
Reverse Linear,58,43
Reverse Linear,22,79
Reverse Linear,5,96
Reverse Linear,73,28
Reverse Linear,70,31
Reverse Linear,81,20
Reverse Linear,14,87
Reverse Linear,1,100
Reverse Linear,81,20
Reverse Linear,3,98
Reverse Linear,74,27
Reverse Linear,72,29
Reverse Linear,62,39
Reverse Linear,75,26
Reverse Linear,83,18
Reverse Linear,40,61
Reverse Linear,28,73
Reverse Linear,74,27
Reverse Linear,86,15
Reverse Linear,69,32
Reverse Linear,23,78
Reverse Linear,75,26
Reverse Linear,79,22
Reverse Linear,44,57
Reverse Linear,96,5
Reverse Linear,36,65
Reverse Linear,68,33
Reverse Linear,97,4
Reverse Linear,43,58
Reverse Linear,33,68
Reverse Linear,14,87
Reverse Linear,25,76
Reverse Linear,38,63
Reverse Linear,80,21
Reverse Linear,55,46
Reverse Linear,98,3
Reverse Linear,63,38
Reverse Linear,74,27
Reverse Linear,5,96
Reverse Linear,100,1
Reverse Linear,21,80
Reverse Linear,70,31
Reverse Linear,26,75
Reverse Linear,12,89
Reverse Linear,74,27
Reverse Linear,94,7
Reverse Linear,30,71
Reverse Linear,35,66
Reverse Linear,30,71
Reverse Linear,94,7
Reverse Linear,22,79
Reverse Linear,45,56
Reverse Linear,8,93
Reverse Linear,85,16
Reverse Linear,72,29
Reverse Linear,20,81
Reverse Linear,30,71
Reverse Linear,3,98
Reverse Linear,55,46
Reverse Linear,48,53
Reverse Linear,46,55
Reverse Linear,73,28
Reverse Linear,19,82
Reverse Linear,71,30
Reverse Linear,48,53
Reverse Linear,88,13
Reverse Linear,65,36
Reverse Linear,9,92
Reverse Linear,56,45
Reverse Linear,59,42
Reverse Linear,64,37
Reverse Linear,42,59
Reverse Linear,87,14
Reverse Linear,87,14
Reverse Linear,86,15
Reverse Linear,23,78
Reverse Linear,90,11
Reverse Linear,62,39
Reverse Linear,47,54
Reverse Linear,46,55
Reverse Linear,85,16
Reverse Linear,77,24
Reverse Linear,88,13
Reverse Linear,58,43
Reverse Linear,91,10
Reverse Linear,44,57
Reverse Linear,29,72
Reverse Linear,86,15
Reverse Linear,90,11
Reverse Linear,57,44
Reverse Linear,52,49
Reverse Linear,49,52
Reverse Linear,74,27
Reverse Linear,90,11
Reverse Linear,44,57
Reverse Linear,35,66
Reverse Linear,77,24
Reverse Linear,34,67
Reverse Linear,52,49
Reverse Linear,60,41
Reverse Linear,65,36
Reverse Linear,3,98
Reverse Linear,60,41
Reverse Linear,68,33
Reverse Linear,76,25
Reverse Linear,16,85
Reverse Linear,18,83
Reverse Linear,6,95
Reverse Linear,43,58
Reverse Linear,52,49
Reverse Linear,89,12
Reverse Linear,38,63
Reverse Linear,26,75
Reverse Linear,54,47
Reverse Linear,33,68
Reverse Linear,43,58
Reverse Linear,4,97
Reverse Linear,84,17
Reverse Linear,36,65
Reverse Linear,38,63
Reverse Linear,52,49
Reverse Linear,62,39
Reverse Linear,4,97
Reverse Linear,56,45
Reverse Linear,5,96
Reverse Linear,22,79
Reverse Linear,55,46
Reverse Linear,80,21
Reverse Linear,59,42
Reverse Linear,80,21
Reverse Linear,14,87
Reverse Linear,43,58
Reverse Linear,17,84
Reverse Linear,73,28
Reverse Linear,26,75
Reverse Linear,55,46
Reverse Linear,38,63
Reverse Linear,19,82
Reverse Linear,72,29
Reverse Linear,29,72
Reverse Linear,12,89
Reverse Linear,24,77
Reverse Linear,51,50
Reverse Linear,17,84
